cohort_trait	phenotype	full_trait_name	category	trait_outcome	is_subset	n	public	agreement_or_registration	download_url	reference
CHARGE_T16_1n7	Trans-16-1n7_levels	trans16:1n7_circulating_levels	metabolic	quantitative	no	8013	yes	no	http://www.chargeconsortium.com/main/results	http://ajcn.nutrition.org/content/101/2/398.long
CHARGE_T18_1	Trans-18-1_levels	trans18:1_circulating_levels	metabolic	quantitative	no	8013	yes	no	http://www.chargeconsortium.com/main/results	http://ajcn.nutrition.org/content/101/2/398.long
CHARGE_T18_2_ct	Cis-trans-18-2_levels	cis,trans18:2_circulating_levels	metabolic	quantitative	no	8013	yes	no	http://www.chargeconsortium.com/main/results	http://ajcn.nutrition.org/content/101/2/398.long
CHARGE_T18_2_tc	Trans-cis-18-2_levels	trans,cis18:2_circulating_levels	metabolic	quantitative	no	8013	yes	no	http://www.chargeconsortium.com/main/results	http://ajcn.nutrition.org/content/101/2/398.long
CHARGE_T18_2_tt	Trans-trans-18-2_levels	trans,trans18:2_circulating_levels	metabolic	quantitative	no	8013	yes	no	http://www.chargeconsortium.com/main/results	http://ajcn.nutrition.org/content/101/2/398.long
CONVERGE_MDD	Major_depressive_disorder_discovery	major_mood_disorder	psychiatric	binary	no	10640	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/converge.MDD.summary_stats.2Sep2015.tbl.gz	http://www.ncbi.nlm.nih.gov/pubmed/26176920
Cooper_T1D	Type_1_diabetes	autoimmune_thyroid_disease?	immunological	binary	no	12111	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/22922229
Cordell_PBC	Primary_biliary_cirrhosis	primary_biliary_cirrhosis	immunological	binary	no	13239	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/26394269
DIAGRAM_Gaulton	Type_2_diabetes_metabochip	type_2_diabetes	metabolic	binary	no	84780	yes	yes	http://diagram-consortium.org/downloads.html	http://www.nature.com/ng/journal/v47/n12/abs/ng.3437.html
DIAGRAMv3_T2D	Type_2_diabetes	type_2_diabetes	metabolic	binary	no	149821	yes	yes	http://diagram-consortium.org/downloads.html	http://www.ncbi.nlm.nih.gov/pubmed/22885922
Dubois_Celiac	Celiac_disease	celiac_disease	immunological	binary	no	15283	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/20190752
EGG_Tanner_MF_Combined	Tanner_stage	tanner_stage	anthropometric	quantitative	no	9916	yes	no	http://egg-consortium.org/downloads/EGG_TANNER_males_and_females_combined.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/24770850
GCAN_Anorexia_nervosa	Anorexia_nervosa	anorexia_nervosa	psychiatric	binary	no	17767	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/pgc.an.13May2016.zip	http://www.ncbi.nlm.nih.gov/pubmed/24514567
GIANT_BMI_All	BMI_all_inds	body_mass_index	anthropometric	quantitative	no	339224	yes	no	https://www.broadinstitute.org/collaboration/giant/images/f/f0/All_ancestries_SNP_gwas_mc_merge_nogc.tbl.uniq.gz	http://www.nature.com/nature/journal/v518/n7538/full/nature14177.html
GIANT_BMI_EUR	BMI_eur_inds	body_mass_index	anthropometric	quantitative	yes	339224	yes	no	https://www.broadinstitute.org/collaboration/giant/images/1/15/SNP_gwas_mc_merge_nogc.tbl.uniq.gz	http://www.nature.com/nature/journal/v518/n7538/full/nature14177.html
GIANT_ExtremeBMI_Stage1	Extreme_BMI	extreme_body_mass_index	anthropometric	quantitative	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/9/98/GIANT_EXTREME_BMI_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_ExtremeHeight_Stage1	Extreme_height	extreme_height	anthropometric	quantitative	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/b/bd/GIANT_EXTREME_HEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_ExtremeWHR_Stage1	Extreme_WHR	extreme_waist_hip_ratio	anthropometric	quantitative	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/b/b2/GIANT_EXTREME_WHR_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_HIP_All	Hip_circumference_all_inds	hip_circumference	anthropometric	quantitative	no	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/6/6f/GIANT_2015_HIP_COMBINED_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIP_Eur	Hip_circumference_eur_inds	hip_circumference	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/e/e4/GIANT_2015_HIP_COMBINED_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIPadjBMI_All	Hip_circ_adjBMI_all_inds	hip_circumference_adjusted_by_bmi	anthropometric	quantitative	no	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/0/0e/GIANT_2015_HIPadjBMI_COMBINED_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIPadjBMI_Eur	Hip_circ_adjBMI_eur_inds	hip_circumference_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/5/52/GIANT_2015_HIPadjBMI_COMBINED_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIPadjBMI_Females_All	Hip_circ_adjBMI_female_all_inds	hip_circumference_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/4/47/GIANT_2015_HIPadjBMI_FEMALES_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIPadjBMI_Females_Eur	Hip_circ_adjBMI_female_eur_inds	hip_circumference_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/a/a4/GIANT_2015_HIPadjBMI_FEMALES_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIPadjBMI_Males_All	Hip_circ_adjBMI_male_all_inds	hip_circumference_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/d/dd/GIANT_2015_HIPadjBMI_MALES_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_HIPadjBMI_Males_Eur	Hip_circ_adjBMI_male_eur_inds	hip_circumference_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/5/5f/GIANT_2015_HIPadjBMI_MALES_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_Obesity1_Stage1	Obesity_stage1	obesity_type_1	anthropometric	binary	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/4/42/GIANT_OBESITY_CLASS1_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_Obesity2_Stage1	Obesity_stage2	obesity_type_2	anthropometric	binary	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/a/a9/GIANT_OBESITY_CLASS2_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_Obesity3_Stage1	Obesity_stage3	obesity_type_3	anthropometric	binary	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/d/d0/GIANT_OBESITY_CLASS3_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_Overweight_Stage1	Overweight	overweight	anthropometric	binary	no	263407	yes	no	https://www.broadinstitute.org/collaboration/giant/images/3/3a/GIANT_OVERWEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23563607?dopt=Citation
GIANT_WC_All	Waist_circumference_all_inds	waist_circumference	anthropometric	quantitative	no	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/e/ea/GIANT_2015_WC_COMBINED_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WC_Eur	Waist_circumference_eur_inds	waist_circumference	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/5/57/GIANT_2015_WC_COMBINED_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WCadjBMI_All	Waist_circ_adjBMI_all_inds	waist_circumference_adjusted_by_bmi	anthropometric	quantitative	no	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/3/3f/GIANT_2015_WCadjBMI_COMBINED_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WCadjBMI_Eur	Waist_circ_adjBMI_eur_inds	waist_circumference_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/7/73/GIANT_2015_WCadjBMI_COMBINED_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHR_All	Waist-Hip_ratio_all_inds	waist_to_hip_ratio	anthropometric	quantitative	no	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/d/d7/GIANT_2015_WHR_COMBINED_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHR_Eur	Waist-Hip_ratio_eur_inds	waist_to_hip_ratio	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/5/54/GIANT_2015_WHR_COMBINED_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHRadjBMI_All	WHR_adjBMI_all_inds	waist_to_hip_ratio_adjusted_by_bmi	anthropometric	quantitative	no	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/f/f6/GIANT_2015_WHRadjBMI_COMBINED_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHRadjBMI_Eur	WHR_adjBMI_eur_inds	waist_to_hip_ratio_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/e/eb/GIANT_2015_WHRadjBMI_COMBINED_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHRadjBMI_Females_All	WHR_adjBMI_female_all_inds	waist_to_hip_ratio_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/0/04/GIANT_2015_WHRadjBMI_FEMALES_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHRadjBMI_Females_Eur	WHR_adjBMI_female_eur_inds	waist_to_hip_ratio_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/f/f8/GIANT_2015_WHRadjBMI_FEMALES_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHRadjBMI_Males_All	WHR_adjBMI_male_all_inds	waist_to_hip_ratio_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/2/20/GIANT_2015_WHRadjBMI_MALES_AllAncestries.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GIANT_WHRadjBMI_Males_Eur	WHR_adjBMI_male_eur_inds	waist_to_hip_ratio_adjusted_by_bmi	anthropometric	quantitative	yes	224459	yes	no	https://www.broadinstitute.org/collaboration/giant/images/1/14/GIANT_2015_WHRadjBMI_MALES_EUR.txt.gz	http://www.nature.com/nature/journal/v518/n7538/abs/nature14132.html
GLGC_HDLC	HDL_cholesterol_levels	high_density_lipid_cholesterol	metabolic	quantitative	no	188577	yes	no	http://csg.sph.umich.edu//abecasis/public/lipids2013/	http://www.nature.com/ng/journal/v45/n11/full/ng.2797.html
GLGC_LDLC	LDL_cholesterol_levels	low_density_lipid_cholesterol	metabolic	quantitative	no	188577	yes	no	http://csg.sph.umich.edu//abecasis/public/lipids2013/	http://www.nature.com/ng/journal/v45/n11/full/ng.2797.html
GLGC_TC	Total_cholesterol_levels	total_cholesterol	metabolic	quantitative	no	188577	yes	no	http://csg.sph.umich.edu//abecasis/public/lipids2013/	http://www.nature.com/ng/journal/v45/n11/full/ng.2797.html
GLGC_TG	Triglyceride_levels	triglyceride_level	metabolic	quantitative	no	188577	yes	no	http://csg.sph.umich.edu//abecasis/public/lipids2013/	http://www.nature.com/ng/journal/v45/n11/full/ng.2797.html
GPC1_NeoAgreeableness	NeoAgreeableness	neoagreeableness	psychiatric	quantitative	no	17375	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2012/Moor_MP_2012.pdf
GPC1_NeoConscientiousness	NeoConscientiousness	neoconscientiousness	psychiatric	quantitative	no	17375	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2012/Moor_MP_2012.pdf
GPC1_NeoExtraversion	NeoExtraversion	neoextraversion	psychiatric	quantitative	no	17375	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2012/Moor_MP_2012.pdf
GPC1_NeoNeuroticism	NeoNeuroticism	neoneuroticism	psychiatric	quantitative	no	17375	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2012/Moor_MP_2012.pdf
GPC1_NeoOpenness	NeoOpenness	neoopenness	psychiatric	quantitative	no	17375	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2012/Moor_MP_2012.pdf
GPC2_Extraversion	Extraversion	extraversion	psychiatric	quantitative	no	59002	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2014/Berg_BG_2014.pdf
GPC2_Neuroticism	Neuroticism	neuroticism	psychiatric	quantitative	no	73447	yes	no	http://www.tweelingenregister.org/GPC/	http://www.tweelingenregister.org/fileadmin/user_upload/publicaties/verslaggeving/NTR-publicaties_2015/GPC_JAMA_Psychiatry_2015.pdf
Heartrate	Heart_rate	heart_rate	cardiovascular	quantitative	no	181171	yes	no	http://walker05.u.hpc.mssm.edu/META_STAGE1_GWASHR_SUMSTATS.txt	http://www.ncbi.nlm.nih.gov/pubmed/?term=23583979
IBD_EUR	Inflammatory_bowel_disease	inflammatory_bowel_disease	immunological	binary	no	96486	yes	no	http://www.ibdgenetics.org/downloads.html	http://www.nature.com/ng/journal/v47/n9/abs/ng.3359.html
IC_FARACO_NAR	Narcolepsy_immunochip	immunochip_narcolepsy	immunological	binary	no	12307	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/23459209
IC_IMSGC_MS	Multiple_sclerosis_immunochip	immunochip_multiple_sclerosis	immunological	binary	no	38589	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/24076602
IC_LIU_PBC	Primary_biliary_cirrhosis_immunochip	immunochip_primary_biliary_cirrhosis	immunological	binary	no	11375	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/22961000
IC_TSOI_PSO	Psoriasis_immunochip	immunochip_psoriasis	immunological	binary	no	33394	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/23143594
IC_UK_JIA_HINKS	Juvenile_idiopathic_arthritis_immunochip	immunochip_juvenile_idiopathic_arthritis	immunological	binary	no	15872	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/23603761
IGAP	Alzheimer_disease	alzheimers_disease	neurological	binary	yes	54162	yes	yes	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	http://www.ncbi.nlm.nih.gov/pubmed/?term=24162737
IGAP_stage1	Alzheimer_disease_discovery	alzheimers_disease	neurological	binary	no	74046	yes	yes	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	http://www.ncbi.nlm.nih.gov/pubmed/?term=24162737
IMSGC_Multiple_sclerosis	Multiple_sclerosis	multiple_sclerosis	immunological	binary	no	27148	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/21833088
Leptin	Leptin_levels	circulating_leptin_levels	metabolic	quantitative	no	32161	yes	no	http://walker05.u.hpc.mssm.edu/Leptin_Not_Adjusted_for_BMI.txt	http://www.ncbi.nlm.nih.gov/pubmed/?term=26833098
LeptinadjBMI	Leptin_levels_adjBMI	circulating_leptin_levels_adjusted_for_BMI	metabolic	quantitative	no	32161	yes	no	http://walker05.u.hpc.mssm.edu/Leptin_Adjusted_for_BMI.txt	http://www.ncbi.nlm.nih.gov/pubmed/?term=26833098
MAGIC_2hGluadjBMI	2hour_glucose_levels_adjBMI	2hr_glucose_levels_adjusted_for_bmi	metabolic	quantitative	no	15234	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_2hrGlucose_AdjustedForBMI.txt	http://ukpmc.ac.uk/abstract/MED/20081857
MAGIC_FG	Fasting_glucose_levels	fasting_glucose_levels	metabolic	quantitative	no	51750	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_FastingGlucose.txt	http://ukpmc.ac.uk/abstract/MED/20081858
MAGIC_HbA1C	Hemoglobin_A1c_levels	hemoglobin_A_1_(C)_levels	metabolic	quantitative	no	46368	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_HbA1C.txt.gz	http://ukpmc.ac.uk/abstract/MED/20858683
MAGIC_IS_AUCins	IS_AUCins	AUC_insulin_levels_during_OGTT	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_AUCinsAUCgluc	IS_AUCinsAUCgluc	area_under_the_curve_for_AUCinsulin_over_AUC_glucose	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_CIR	IS_CIR	corrected_insulin_response	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_CIRISI	IS_CIRISI	CIRxISI	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_DI	IS_DI	diposition_index_(CIRxISI)	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_ISI	IS_ISI	insulin_sensitivity_index	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_Incr30	IS_Incr30	incremental_insulin_at_30min	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_Ins30	IS_Inc30	insulin_levels_at_30min	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_IS_Ins30BMI	IS_Inc30_adjBMI	insulin_at_30min_adjusted_for_BMI	metabolic	quantitative	no	5318	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_InsulinSecretion_data_release_May2014.zip	http://ukpmc.ac.uk/abstract/MED/24699409
MAGIC_MC_2hGlu	2hour_glucose_levels_metabochip	metabochip_2hr_glucose_levels	metabolic	quantitative	no	133010	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_Metabochip_Public_data_release_25Jan.zip	http://ukpmc.ac.uk/abstract/MED/22885924
MAGIC_MC_FG	Fasting_glucose_levels_metabochip	metabochip_fasting_glucose_levels	metabolic	quantitative	no	133010	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_Metabochip_Public_data_release_25Jan.zip	http://ukpmc.ac.uk/abstract/MED/22885924
MAGIC_MC_FI	Fasting_insulin_levels_metabochip	metabochip_fasting_insulin_levels	metabolic	quantitative	no	133010	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_Metabochip_Public_data_release_25Jan.zip	http://ukpmc.ac.uk/abstract/MED/22885924
MAGIC_MC_FIadjBMI	Fasting_insulin_levels_metabochip_adjBMI	metabochip_fasting_insulin_levels_adjusted_by_BMI	metabolic	quantitative	no	133010	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_Metabochip_Public_data_release_25Jan.zip	http://ukpmc.ac.uk/abstract/MED/22885924
MAGIC_lnFI	Fasting_insulin_levels	ln_fasting_insulin_levels	metabolic	quantitative	no	58074	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_ln_FastingInsulin.txt	http://ukpmc.ac.uk/abstract/MED/20081858
MAGIC_lnHOMAB	Beta-cell_function	ln_homeostatic_model_assessment_indices_of_beta_cell_function	metabolic	quantitative	no	46186	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_ln_HOMA-B.txt	http://ukpmc.ac.uk/abstract/MED/20081858
